time,L_total,omega_total,L_cluster0,omega_cluster0,L_cluster1,omega_cluster1,L_cluster2,omega_cluster2,L_cluster3,omega_cluster3,L_cluster4,omega_cluster4,L_cluster5,omega_cluster5
40.8500,19.934874,0.049837,282.067519,3.065951,-160.144510,-1.740701,-101.861657,-0.960959,-60.324024,-0.628375,0.000000,0.000000,0.000000,0.000000
40.8750,-15.621468,-0.039054,30.297394,0.329319,-78.453891,-0.747180,-0.785910,-0.008451,-28.628692,-0.301355,0.000000,0.000000,0.000000,0.000000
40.9000,508.914776,1.272287,313.594268,3.371981,275.816244,2.602040,-24.459522,-0.265864,6.911164,0.072749,0.000000,0.000000,0.000000,0.000000
40.9250,490.899800,1.227249,91.016449,0.858646,130.914235,1.407680,-5.943098,-0.064599,307.311405,3.201160,0.000000,0.000000,0.000000,0.000000
40.9500,291.002089,0.727505,-28.470984,-0.306140,92.513436,1.005581,49.353259,0.465597,147.301111,1.503073,0.000000,0.000000,0.000000,0.000000
40.9750,-264.923075,-0.662308,-281.423214,-3.058948,-25.777754,-0.243186,101.671212,1.093239,-90.938827,-0.927947,0.000000,0.000000,0.000000,0.000000
41.0000,57.633719,0.144084,-116.292479,-1.264049,86.306157,0.928023,-50.252240,-0.469647,147.837046,1.539969,0.000000,0.000000,0.000000,0.000000
41.0250,152.558127,0.381395,11.982452,0.111986,180.516024,1.962131,78.378769,0.842782,-64.536419,-0.679331,0.000000,0.000000,0.000000,0.000000
41.0500,-52.123885,-0.130310,-59.713261,-0.649057,48.029146,0.522056,-48.093415,-0.445309,-20.268680,-0.208955,0.000000,0.000000,0.000000,0.000000
41.0750,96.387015,0.240968,-171.774940,-1.867119,58.814164,0.639284,144.704397,1.339856,111.027422,1.144613,0.000000,0.000000,0.000000,0.000000
41.1000,271.689516,0.679224,-121.961304,-1.311412,120.682681,1.117432,-16.427016,-0.178555,222.194042,2.363766,0.000000,0.000000,0.000000,0.000000
41.1250,-133.934296,-0.334836,90.391830,0.982520,-111.852107,-1.035668,125.903334,1.368514,-108.068372,-1.137562,0.000000,0.000000,0.000000,0.000000
41.1500,-81.880014,-0.204700,173.953911,1.890803,-125.734907,-1.366684,53.778333,0.502601,-160.745130,-1.674428,0.000000,0.000000,0.000000,0.000000
41.1750,214.230327,0.535576,-36.799180,-0.399991,-0.483563,-0.004519,11.425459,0.124190,253.800922,2.643760,0.000000,0.000000,0.000000,0.000000
41.2000,-366.586380,-0.916466,-575.114566,-6.251245,-77.656165,-0.732605,290.414179,3.122733,50.408910,0.525093,0.000000,0.000000,0.000000,0.000000
41.2250,-131.274842,-0.328187,31.165714,0.294016,140.460517,1.510328,-216.715818,-2.355607,-89.232140,-0.929501,0.000000,0.000000,0.000000,0.000000
41.2500,39.968045,0.099920,119.779903,1.140761,-14.748658,-0.160311,-107.726080,-1.158345,42.271912,0.440332,0.000000,0.000000,0.000000,0.000000
41.2750,270.528623,0.676322,216.009481,2.037825,94.324782,1.014245,-216.801961,-2.356543,216.158021,2.251646,0.000000,0.000000,0.000000,0.000000
41.3000,-261.575929,-0.653940,-106.013457,-1.000127,143.276272,1.557351,-243.687219,-2.620293,-17.393957,-0.177489,0.000000,0.000000,0.000000,0.000000
41.3250,-190.986177,-0.477465,148.913451,1.391714,-85.280025,-0.870204,-189.697225,-2.039755,16.290183,0.175163,0.000000,0.000000,0.000000,0.000000
41.3500,118.896066,0.297240,75.580347,0.699818,-236.167852,-2.567042,93.694433,1.007467,165.415080,1.687909,0.000000,0.000000,0.000000,0.000000
41.3750,87.995804,0.219990,154.006931,1.425990,90.086582,0.979202,138.765649,1.492104,-316.185780,-3.226386,0.000000,0.000000,0.000000,0.000000
41.4000,382.133850,0.955335,-57.680932,-0.529183,75.208958,0.817489,276.923351,2.977670,25.934405,0.264637,0.000000,0.000000,0.000000,0.000000
41.4250,507.144731,1.267862,206.771451,1.914550,142.248071,1.529549,253.955720,2.730707,-57.038703,-0.588028,0.000000,0.000000,0.000000,0.000000
41.4500,320.756004,0.801890,61.278382,0.572695,-48.915954,-0.531695,123.009813,1.337063,195.827206,2.061339,0.000000,0.000000,0.000000,0.000000
41.4750,207.703559,0.519259,190.143436,1.744435,209.101560,2.272843,-256.930630,-2.648769,66.811252,0.726209,0.000000,0.000000,0.000000,0.000000
41.5000,-171.108615,-0.427772,-243.014220,-2.229488,-4.816039,-0.051785,-19.988662,-0.217268,19.472882,0.198703,0.000000,0.000000,0.000000,0.000000
41.5250,-101.126524,-0.252816,217.708703,2.015821,-185.776536,-2.019310,-22.838979,-0.248250,-106.612774,-1.087885,0.000000,0.000000,0.000000,0.000000
41.5500,-63.429430,-0.158574,184.911228,1.696433,-135.693937,-1.474934,-65.260839,-0.701729,-84.809070,-0.874320,0.000000,0.000000,0.000000,0.000000
41.5750,-346.782022,-0.866955,60.925738,0.558952,-245.212426,-2.636693,-261.020546,-2.806673,66.046348,0.673942,0.000000,0.000000,0.000000,0.000000
41.6000,92.585837,0.231465,-61.165208,-0.566345,270.142802,2.904761,53.793254,0.548911,-202.428249,-2.176648,0.000000,0.000000,0.000000,0.000000
41.6250,143.569338,0.358923,108.178060,1.001649,264.083133,2.870469,-22.688762,-0.229179,-183.635621,-1.996039,0.000000,0.000000,0.000000,0.000000
41.6500,-323.506649,-0.808767,-343.731168,-3.153497,207.757852,2.233955,-10.621979,-0.115456,-205.452508,-2.075278,0.000000,0.000000,0.000000,0.000000
41.6750,-347.573346,-0.868933,91.997463,0.844013,-352.145983,-3.593326,-108.395381,-1.178211,47.437578,0.510081,0.000000,0.000000,0.000000,0.000000
41.7000,36.873267,0.092183,26.008995,0.238615,114.499946,1.168367,-117.776422,-1.266413,30.625073,0.329302,0.000000,0.000000,0.000000,0.000000
41.7250,-177.839071,-0.444598,-116.200696,-1.075932,-152.866675,-1.643728,-13.815316,-0.148552,59.739848,0.609590,0.000000,0.000000,0.000000,0.000000
41.7500,464.610944,1.161527,58.312483,0.539930,169.347273,1.710579,46.261675,0.502844,191.492069,2.059055,0.000000,0.000000,0.000000,0.000000
41.7750,554.385312,1.385963,74.390386,0.682481,74.807352,0.813123,126.623580,1.279026,249.933284,2.687455,0.000000,0.000000,0.000000,0.000000
41.8000,439.518501,1.098796,-122.505228,-1.134308,297.839035,3.039174,280.811526,3.019479,39.909886,0.429139,0.000000,0.000000,0.000000,0.000000
41.8250,-112.750752,-0.281877,-231.990319,-2.168134,35.197604,0.359159,-7.280836,-0.079140,114.876816,1.235235,0.000000,0.000000,0.000000,0.000000
41.8500,59.493396,0.148733,-8.895737,-0.082368,-113.806143,-1.223722,104.160468,1.062862,125.869466,1.368146,0.000000,0.000000,0.000000,0.000000
41.8750,236.062936,0.590157,239.262517,2.195069,34.503066,0.355702,-96.478564,-1.037404,136.729469,1.470209,0.000000,0.000000,0.000000,0.000000
41.9000,25.316233,0.063291,-166.457109,-1.527129,26.485125,0.270256,8.996497,0.096737,133.821685,1.438943,0.000000,0.000000,0.000000,0.000000
41.9250,233.994762,0.584987,196.032658,1.782115,-94.782754,-0.967171,136.373513,1.482321,9.844653,0.105856,0.000000,0.000000,0.000000,0.000000
41.9500,196.199405,0.490499,-70.655101,-0.648212,86.794820,0.894792,-207.745021,-2.233817,366.432108,3.982958,0.000000,0.000000,0.000000,0.000000
41.9750,-203.825061,-0.509563,-49.034017,-0.454019,43.003084,0.443331,-4.203010,-0.045685,-122.572161,-1.332306,0.000000,0.000000,0.000000,0.000000
42.0000,-245.324614,-0.613312,-179.489760,-1.661942,168.641496,1.720832,127.839308,1.389558,-337.698490,-3.670636,0.000000,0.000000,0.000000,0.000000
42.0250,398.554499,0.996386,132.368776,1.225637,124.099387,1.266320,109.315639,1.188213,-29.580750,-0.321530,0.000000,0.000000,0.000000,0.000000
42.0500,-163.559017,-0.408898,-282.933451,-2.644238,-196.945916,-2.051520,89.939732,0.977606,175.280392,1.905222,0.000000,0.000000,0.000000,0.000000
42.0750,-140.034620,-0.350087,50.028266,0.463225,208.833419,2.130953,-153.508974,-1.668576,-204.869448,-2.226842,0.000000,0.000000,0.000000,0.000000
