time,L_theta_total,L_phi_total,mean_theta_dot,mean_phi_dot,L_theta_ring0,omega_theta_ring0,L_theta_ring1,omega_theta_ring1,L_theta_ring2,omega_theta_ring2,L_theta_ring3,omega_theta_ring3,rel_omega_theta,rel_omega_phi
49.1000,383.489846,-152.516746,0.252029,-1.525167,113.280742,0.279735,270.209104,0.226961,0.000000,0.000000,0.000000,0.000000,-0.052775,-2.548432
49.1250,439.987898,135.052920,0.646252,1.350529,-29.224340,-0.455744,297.779142,2.983231,-654.851374,-2.721126,0.000000,0.000000,3.438975,9.322405
49.1500,-286.626062,35.215505,-0.300807,0.352155,-135.287366,-0.234756,-132.831256,-0.355365,0.000000,0.000000,0.000000,0.000000,-0.120609,-0.223751
49.1750,-92.145072,237.384353,-0.500955,2.373844,-360.790978,-1.176564,268.645907,0.141697,0.000000,0.000000,0.000000,0.000000,1.318261,2.705796
49.2000,341.267055,227.115021,0.183061,2.271150,288.988019,0.702117,10.961567,-0.372722,0.000000,0.000000,0.000000,0.000000,-1.074839,-0.076725
49.2250,334.640449,171.648234,-0.192637,1.716482,-303.703913,-1.251622,587.053783,0.720213,0.000000,0.000000,0.000000,0.000000,1.971836,2.337607
49.2500,405.457851,-116.852540,0.315995,-1.168525,-215.633802,-0.849913,621.091653,1.403049,0.000000,0.000000,0.000000,0.000000,2.252963,-4.241401
49.2750,754.853007,25.407524,0.908103,0.254075,278.576424,1.032725,462.330804,0.766874,0.000000,0.000000,0.000000,0.000000,-0.265851,-4.682009
49.3000,336.416512,47.444862,0.253828,0.474449,78.146188,-0.024953,261.545050,0.521985,0.000000,0.000000,0.000000,0.000000,0.546938,0.229101
49.3250,130.274697,-38.115032,0.457101,-0.381150,346.792019,1.450917,-211.935964,-0.432353,0.000000,0.000000,0.000000,0.000000,-1.883271,-6.168061
49.3500,-65.681605,64.259939,-0.122796,0.642599,-292.301883,-0.679296,226.620278,0.390897,0.000000,0.000000,0.000000,0.000000,1.070193,-0.215963
49.3750,-561.402085,174.931846,-0.567281,1.749318,-99.714062,-0.433877,-402.545800,-0.626806,0.000000,0.000000,0.000000,0.000000,-0.192929,-2.379135
49.4000,-272.880436,-176.715323,-0.224758,-1.767153,-239.672067,-0.544480,-70.273644,0.025191,0.000000,0.000000,0.000000,0.000000,0.569671,-3.739453
49.4250,-396.624475,-93.565732,-0.580846,-0.935657,55.025681,-0.189972,-433.797880,-0.958460,0.000000,0.000000,0.000000,0.000000,-0.768488,1.795268
49.4500,-40.125194,48.419994,0.119583,0.484200,280.280838,0.751634,-426.445130,-0.964880,0.000000,0.000000,0.000000,0.000000,-1.716515,-2.143411
49.4750,219.487577,-175.032028,-0.273422,-1.750320,433.720778,3.530954,-311.535490,-3.744559,8.747632,-0.025711,0.000000,0.000000,-7.275513,11.664015
49.5000,-567.658038,21.468640,-0.596202,0.214686,160.766161,0.966072,-218.606932,-2.991850,-59.901482,-0.195948,0.000000,0.000000,-3.957922,17.794951
49.5250,-438.695734,-0.124651,-0.389834,-0.001247,-30.773594,-0.369091,-419.221298,-0.468587,0.000000,0.000000,0.000000,0.000000,-0.099496,6.148638
49.5500,233.568747,128.274203,0.229359,1.282742,-163.084843,-0.236067,355.238487,0.487886,0.000000,0.000000,0.000000,0.000000,0.723953,0.009090
49.5750,50.624616,-84.558139,0.019149,-0.845581,35.446101,0.120836,15.178515,-0.075661,0.000000,0.000000,0.000000,0.000000,-0.196497,-10.473519
49.6000,685.075599,-94.442999,0.948463,-0.944430,537.779574,1.503647,147.296025,0.420361,0.000000,0.000000,0.000000,0.000000,-1.083286,0.758251
49.6250,606.701573,100.172079,0.872845,1.001721,440.713083,1.648956,165.988490,0.149224,0.000000,0.000000,0.000000,0.000000,-1.499731,-5.027214
49.6500,442.080229,31.563745,0.658821,0.315637,632.694415,1.853894,-190.614186,-0.489387,0.000000,0.000000,0.000000,0.000000,-2.343281,3.449649
49.6750,-339.011650,89.225941,-0.624403,0.892259,-37.135860,-0.510963,-276.770246,-0.713333,0.000000,0.000000,0.000000,0.000000,-0.202370,-4.838005
